"projectname","sourcetype","projectsize","projectsize[other]","participants[1]","participants[2]","participants[3]","participants[4]","participants[5]","participants[other]","projectentity[1]","projectentity[2]","projectentity[3]","projectentity[4]","projectentity[5]","projectentity[6]","projectentity[7]","projectentity[other]","projectlicense[1]","projectlicense[2]","projectlicense[3]","projectlicense[4]","projectlicense[5]","projectlicense[6]","projectlicense[7]","projectlicense[other]","policylink","policyelements[1]","policyelements[2]","policyelements[3]","policyelements[4]","policyelements[5]","policyelements[6]","policyelements[7]","policyelements[8]","policyelements[9]","policyelements[10]","policyelements[other]","signedby[1]","signedby[2]","signedby[3]","signedby[4]","signedby[5]","signedby[6]","signedby[7]","signedby[8]","signedby[other]","noagreement[1]","noagreement[2]","noagreement[3]","noagreement[4]","noagreement[5]","noagreement[other]","projectcomments"
"OpenStack","Yes","Large","","Yes","Yes","Yes","No","Yes","","No","Yes","No","No","Yes","No","No","","Yes","No","No","No","No","No","No","","https://wiki.openstack.org/wiki/How_To_Contribute#Contributor_License_Agreement","No","No","Yes","No","No","No","Yes","No","Yes","No","","No","No","No","Yes","No","Yes","No","No","","No","No","No","No","No","",""
"Openstack","Yes","Large","","Yes","Yes","Yes","No","Yes","","No","Yes","No","No","Yes","No","No","","Yes","No","No","No","No","No","No","","","No","No","Yes","No","No","No","No","No","Yes","No","","No","No","No","Yes","No","No","No","No","","No","No","No","No","No","",""
"OpenStack Nova. Tempest","Yes","Large","","Yes","Yes","No","Yes","Yes","","No","Yes","No","No","No","No","No","","Yes","No","No","No","No","No","No","","https://wiki.openstack.org/wiki/OpenStackAndItsCLA#The_Developer_Certificate_of_Origin","No","No","Yes","Yes","Yes","No","Yes","No","Yes","No","","No","No","No","Yes","No","No","No","Yes","","No","No","No","No","No","",""
"Perl 6","Yes","Small","","Yes","No","Yes","No","No","","No","Yes","No","No","Yes","No","No","","No","No","No","No","No","No","No","Artistic License","https://github.com/rakudo/rakudo/blob/nom/docs/obtaining-a-commit-bit.pod","No","Yes","Yes","No","No","Yes","No","No","Yes","No","","No","No","No","No","No","No","No","No","","No","No","No","No","No","",""
"OpenStack","Yes","Large","","Yes","Yes","No","No","Yes","","No","Yes","No","No","No","No","No","","Yes","No","No","No","No","No","No","","","No","No","Yes","No","No","No","No","No","No","No","","No","No","No","Yes","No","No","No","Yes","","No","No","No","No","No","","The requirement to sign the CLA is a major hurdle that discourages many individual contributors, and prevents some companies participating"
"Python","Yes","Large","","Yes","Yes","Yes","No","Yes","","No","Yes","No","No","No","No","No","","No","No","No","No","No","No","No","PSF","","No","No","Yes","No","No","No","No","No","No","No","","No","No","Yes","No","No","No","No","No","","No","No","No","No","No","",""
"MediaWiki","Yes","Large","","Yes","Yes","Yes","Yes","Yes","","No","Yes","No","No","No","No","No","","No","No","Yes","No","No","No","No","","","No","Yes","No","No","No","Yes","No","No","No","Yes","","No","No","No","No","No","No","No","No","Developers working for Wikimedia Foundation agree to licensing in their employment contracts","No","Yes","Yes","No","No","efficiency","has caused trouble in the past because of wish to relicense some Apache? code regarding Lucene"
"BDE","Yes","Small","","Yes","Yes","No","Yes","No","","No","No","No","Yes","No","No","No","","Yes","No","No","No","No","No","No","","","No","No","No","No","Yes","No","No","No","No","No","","No","No","No","No","No","No","No","No","","No","No","No","No","No","",""
"syslog-ng","Yes","Small","","Yes","Yes","Yes","Yes","No","","No","No","No","Yes","No","No","No","","No","No","Yes","Yes","No","No","No","","","Yes","No","No","No","Yes","No","No","No","No","No","No explicit policy, but DCO is strongly recommended.","No","No","No","No","Yes","No","No","No","Not required, but DCO strongly recommended.","No","No","No","No","No","The project had CAA, but it was abolished.",""
"Parrot","Yes","Small","","Yes","N/A","N/A","N/A","N/A","","N/A","Yes","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Artistic License","http://www.parrot.org/sites/www.parrot.org/files/parrot_cla.pdf","N/A","N/A","Yes","N/A","N/A","N/A","Yes","Yes","N/A","N/A","","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","",""
"testtools","Yes","","","N/A","N/A","N/A","N/A","N/A","","Yes","N/A","N/A","N/A","N/A","N/A","N/A","","Yes","N/A","N/A","N/A","Yes","N/A","N/A","","https://github.com/testing-cabal/testtools/blob/master/LICENSE","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","",""
"Linux Kernel","Yes","","","N/A","N/A","N/A","N/A","N/A","","N/A","Yes","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","Yes","N/A","N/A","N/A","N/A","","http://developercertificate.org/","N/A","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","Yes","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","",""
"CAcert","No","","","N/A","N/A","N/A","N/A","N/A","","N/A","Yes","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","Yes","N/A","N/A","N/A","N/A","","http://wiki.cacert.org/Software/Licence","N/A","N/A","Yes","Yes","N/A","N/A","N/A","N/A","Yes","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","",""
"elfutils","Yes","","","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","Yes","N/A","N/A","N/A","","N/A","N/A","Yes","Yes","N/A","N/A","N/A","","https://git.fedorahosted.org/cgit/elfutils.git/plain/CONTRIBUTING","N/A","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","",""
"LibreOffice","Yes","","","N/A","N/A","N/A","N/A","N/A","","N/A","Yes","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","Yes","N/A","","","N/A","N/A","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","",""
"PostgreSQL","Yes","","","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","Yes","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","The PostgreSQL License","","N/A","N/A","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","",""
"Eclipse","Yes","","","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Not-for-profit organization","N/A","N/A","N/A","N/A","N/A","N/A","Yes","","https://www.eclipse.org/legal/CLA.php","N/A","N/A","Yes","N/A","Yes","Yes","Yes","Yes","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","",""
"GNOME","Yes","","","N/A","N/A","N/A","N/A","N/A","","N/A","Yes","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","Yes","Yes","N/A","N/A","Yes","CC-BY-SA, GFDL","","N/A","N/A","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","",""
"OpenAFS","Yes","","","N/A","N/A","N/A","N/A","N/A","","Yes","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","Yes","N/A","N/A","Yes","N/A","N/A","IBM public license 1.0","","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","",""

